Model,Accuracy,Precision,Recall,F1 Score
XGBoost,0.8711656441717791,0.8904907975460122,0.8711656441717791,0.8561981998480487
Random Forest,0.9668153931957613,0.96825820218725,0.9668153931957613,0.9660974384542863
SGDClassifier,0.7300613496932515,0.5329895743159321,0.7300613496932515,0.6161510681808293
Logistic Regression,0.7300613496932515,0.5329895743159321,0.7300613496932515,0.6161510681808293
CatBoost,0.6988287785833798,0.7598745453924431,0.6988287785833798,0.7143307818989019
XGBoost,0.8711656441717791,0.8904907975460122,0.8711656441717791,0.8561981998480487
Random Forest,0.9668153931957613,0.96825820218725,0.9668153931957613,0.9660974384542863
SGDClassifier,0.7300613496932515,0.5329895743159321,0.7300613496932515,0.6161510681808293
Logistic Regression,0.7300613496932515,0.5329895743159321,0.7300613496932515,0.6161510681808293
CatBoost,0.6988287785833798,0.7598745453924431,0.6988287785833798,0.7143307818989019
Gradient Boosting,0.8825989960959286,0.8988628403353541,0.8825989960959286,0.8706553976458149
